Unit,Gd Pt,Plot Size,Plot,Size Cl,Hw,Cw,Sx,Pl,Bl,Ba,Ep,At,Ac,dead Hw,deadCw,deadSx,deadPl,deadBl,deadBa,deadEp,deadAt,deadAc,Comments
D2,D300,2.52,I,0-5cm,1,3,,,,,,,,,,,,,,,,,
D2,D300,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D2,D300,2.52,S,0-1.3 m,1,3,,,,,,,,,,,,,,,,,
D2,D450,1.26,I,0-5cm,6,,,,,,,,,,,,,,,,,,
D2,D450,1.26,I,5.1-10cm,3,,1,,,,,,,,,,,,,,,,
D2,D450,1.26,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D2,E000,2.52,I,0-5cm,0,2,,,,,,,,,,,,,,,,,
D2,E000,2.52,I,5.1-10cm,1,,2,1,,,,,,,,,,,,,,,
D2,E000,2.52,S,0-1.3 m,4,2,,,,,,,,,,,,,,,,,
D2,E100,3.99,I,0-5cm,5,,,,,,,,,,,,,,,,,,
D2,E100,3.99,I,5.1-10cm,2,,1,,,,,,,,,,,,,,,,
D2,E100,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D2,E200,3.99,I,0-5cm,,,,,,,,,,,,,,,,,,,
D2,E200,3.99,I,5.1-10cm,2,,1,2,,,,,,,,,,,,,,,
D2,E200,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D2,E300,2.52,I,0-5cm,2,,,1,,,,,,,,,,,,,,,
D2,E300,2.52,I,5.1-10cm,1,,2,,,,,,,,,,,,,,,,
D2,E300,2.52,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D2,F050,3.99,I,0-5cm,4,,1,,,,,,,,,,,,,,,,
D2,F050,3.99,I,5.1-10cm,,,,4,,,,,,,,,,,,,,,
D2,F050,3.99,S,0-1.3 m,,,1,,,,,,,,,,,,,,,,
D2,F150,3.99,I,0-5cm,11,,,,,,,,,,,,,,,,,,
D2,F150,3.99,I,5.1-10cm,3,,5,,,,,,,,,,,,,,,,
D2,F150,3.99,S,0-1.3 m,3,1,,,,,,,,,,,,,,,,,
D2,F250,2.52,I,0-5cm,4,,,,,,,,,,,,,,,,,,
D2,F250,2.52,I,5.1-10cm,0,,1,,,,,,,,,,,,,,,,
D2,F250,2.52,S,0-1.3 m,1,1,,,,,,,,,,,,,,,,,
D2,F350,2.52,I,0-5cm,4,,,,,,,,,,,,,,,,,,
D2,F350,2.52,I,5.1-10cm,0,,1,,,,,,,,,,,,,,,,
D2,F350,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D3,A100,1.26,I,0-5cm,1,,,,,,,,,,,,,,,,,,See large tree plots for GPS coordinates
D3,A100,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,A100,1.26,S,0-1.3 m,30,,,,,,,,,,,,,,,,,,
D3,B100,3.99,I,0-5cm,5,,,,,2,,,,,,,,,,,,,
D3,B100,3.99,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D3,B100,3.99,S,0-1.3 m,21,1,,,,15,,,,,,,,,,,,,
D3,B300,3.99,I,0-5cm,4,,,,,,,,,,,,,,,,,,
D3,B300,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,B300,3.99,S,0-1.3 m,7,,,,,,,,,,,,,,,,,,
D3,B450,3.99,I,0-5cm,,,,,,,,,,1,,,,,,,,,
D3,B450,3.99,I,5.1-10cm,,,,,,,,,,1,,,,,,,,,
D3,B450,3.99,S,0-1.3 m,3,,,,,1,,,,,,,,,,,,,
D3,C000,3.99,I,0-5cm,3,,,,,,,,,,,,,,,,,,
D3,C000,3.99,I,5.1-10cm,3,,,,,,,,,,,,,,,,,,
D3,C000,3.99,S,0-1.3 m,14,,,,,,,,,1,,,,,1,,,,
D3,C200,3.99,I,0-5cm,,,,,,,,,,2,,,,,,,,,
D3,C200,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,C200,3.99,S,0-1.3 m,8,,,,,5,,,,,,,,,,,,,
D3,C350,2.52,I,0-5cm,2,1,,,,3,,,,,,,,,,,,,
D3,C350,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D3,C350,2.52,S,0-1.3 m,2,6,,,,4,,,,1,,,,,,,,,
D3,C550,1.78,I,0-5cm,6,,,,,,,,,,,,,,,,,,
D3,C550,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,C550,1.78,S,0-1.3 m,7,,,,,,,,,2,,,,,,,,,
D3,D200,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D3,D200,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,D200,3.99,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
D3,D350,3.99,I,0-5cm,2,,,,,,,,,3,,,,,,,,,
D3,D350,3.99,I,5.1-10cm,6,,,,,,,,,3,,,,,,,,,
D3,D350,3.99,S,0-1.3 m,1,,,,,2,,,,,,,,,,,,,
D3,D600,2.52,I,0-5cm,,,,,,1,,,,,,,,,,,,,
D3,D600,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,D600,2.52,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
D3,E250,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D3,E250,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,E250,2.52,S,0-1.3 m,38,,,,,2,,,,,,,,,,,,,
D3,E400,3.99,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D3,E400,3.99,I,5.1-10cm,3,,,,,1,,,,,,,,,,,,,
D3,E400,3.99,S,0-1.3 m,14,,,,,,,,,,,,,,,,,,
D3,E650,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D3,E650,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D3,E650,3.99,S,0-1.3 m,14,,,,,1,,,,1,,,,,,,,,
D3,F200,3.99,I,0-5cm,5,,,,,,,,,2,,,,,,,,,
D3,F200,3.99,I,5.1-10cm,4,,,,,1,,,,1,,,,,,,,,
D3,F200,3.99,S,0-1.3 m,3,,,,,,,,,1,,,,,,,,,
D3,F400,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
D3,F400,3.99,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D3,F400,3.99,S,0-1.3 m,2,5,,,,,,,,1,,,,,,,,,
D3,F550,3.99,I,0-5cm,3,,,,,,,,,4,,,,,,,,,
D3,F550,3.99,I,5.1-10cm,3,,,,,,,,,2,,,,,,,,,
D3,F550,3.99,S,0-1.3 m,1,,,,,,,,,1,,,,,,,,,
D3,G000,3.99,I,0-5cm,,,,,,,,,,1,,,,,,,,,
D3,G000,3.99,I,5.1-10cm,1,,,,,,,,,3,,,,,,,,,
D3,G000,3.99,S,0-1.3 m,3,,,,,2,,,,,,,,,,,,,
D3,G150,2.52,I,0-5cm,2,,,,,,,,,,,,,,,,,,
D3,G150,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D3,G150,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D3,G300,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D3,G300,3.99,I,5.1-10cm,,,,,,,,,,2,,,,,,,,,
D3,G300,3.99,S,0-1.3 m,,,,,,1,,,,,,,,,,,,,
D4,A050,1.26,I,0-5cm,18,,,,,,,,,,,,,,,,,,
D4,A050,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,A050,1.26,S,0-1.3 m,15,,,,,,,,,,,,,,,,,,
D4,B050,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D4,B050,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,B050,2.52,S,0-1.3 m,14,8,,,,4,,,,,,,,1,,,,,
D4,B150,2.52,I,0-5cm,4,2,,,,,,,,,,,,,,,,,
D4,B150,2.52,I,5.1-10cm,3,1,,,,,,,,,,,,,,,,,
D4,B150,2.52,S,0-1.3 m,7,5,,,,,,,,,,,,,,,,,
D4,B250,3.99,I,0-5cm,8,,,,,1,,,,,,,,,,,,,
D4,B250,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,B250,3.99,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,
D4,C000,1.78,I,0-5cm,13,,,,,,,,,,,,,,,,,,
D4,C000,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,C000,1.78,S,0-1.3 m,12,,,,,,,,,,,,,,,,,,
D4,C150,3.99,I,0-5cm,2,5,,,,,,,,,,,,,,,,,1 Cw is horizontal
D4,C150,3.99,I,5.1-10cm,1,1,,3,,,,,,,,,,,,,,,
D4,C150,3.99,S,0-1.3 m,1,1,,,,,,,,,,,,,,,,,
D4,C250,1.78,I,0-5cm,3,,,,,,,,,,,,,,,,,,
D4,C250,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,C250,1.78,S,0-1.3 m,11,,,,,,,,,,,,,,,,,,
D4,C350,1.26,I,0-5cm,7,,,,,,,,,,,,,,,,,,
D4,C350,1.26,I,5.1-10cm,2,,,,,,,,,,,,,,,,,,
D4,C350,1.26,S,0-1.3 m,4,2,1,,,,,,,,,,,,,,,,
D4,D050,1.78,I,0-5cm,7,,,,,,,,,,,,,,,,,,
D4,D050,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,D050,1.78,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
D4,D150,2.52,I,0-5cm,4,1,1,,,,,,,,,,,,,,,,
D4,D150,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,D150,2.52,S,0-1.3 m,18,6,2,,,,,,,,,,,,,,,,
D4,D250,1.78,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D4,D250,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,D250,1.78,S,0-1.3 m,26,,,,,,,,,,,,,,,,,,
D4,D350,3.99,I,0-5cm,2,,,,,,,,,,,,,,,,,,
D4,D350,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,D350,3.99,S,0-1.3 m,14,,2,,,,,,,,,,,,,,,,
D4,D500,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D4,D500,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,D500,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
D4,E000,1.78,I,0-5cm,2,1,,,1,,,,,,,,,,,,,,
D4,E000,1.78,I,5.1-10cm,,,5,,1,,,,,,,,,,,,,,
D4,E000,1.78,S,0-1.3 m,20,,,,,,,,,,,,,,,,,,
D4,E100,1.78,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D4,E100,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,E100,1.78,S,0-1.3 m,44,,,,,,,,,,,,,,,,,,
D4,E200,2.52,I,0-5cm,6,1,,,,,,,,,,,,,,,,,
D4,E200,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D4,E200,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D4,E300,2.52,I,0-5cm,7,,,,,,,,,,,,,1,,,,,
D4,E300,2.52,I,5.1-10cm,2,,,,1,,,,,,,,,,,,,,
D4,E300,2.52,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
D4,E400,1.26,I,0-5cm,12,,,,,,,,,,,,,,,,,,
D4,E400,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,E400,1.26,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
D4,E500,2.52,I,0-5cm,6,,,,,1,,,,,,,,,,,,,
D4,E500,2.52,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
D4,E500,2.52,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
D4,E600,1.78,I,0-5cm,9,1,,,,4,,,,,,,,,,,,,
D4,E600,1.78,I,5.1-10cm,,,,,,1,,,,,,,,,,,,,
D4,E600,1.78,S,0-1.3 m,5,,,,,,,,,,,,,,,,,,
D4,F050,2.52,I,0-5cm,3,,,,,4,,,,,,,,,,,,,
D4,F050,2.52,I,5.1-10cm,,,,,,1,,,,,,,,,,,,,
D4,F050,2.52,S,0-1.3 m,15,,,,,,,,,1,,,,,,,,,
D4,F150,1.78,I,0-5cm,3,1,1,,,,,,,,,,,,,,,,
D4,F150,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,F150,1.78,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
D4,F250,3.99,I,0-5cm,4,,1,,,,,,,,,,,,,,,,
D4,F250,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,F250,3.99,S,0-1.3 m,1,,3,,,,,,,,,,,,,,,,
D4,F350,1.26,I,0-5cm,1,,,,,,,,,,,,,,,,,,
D4,F350,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D4,F350,1.26,S,0-1.3 m,11,,,,,,,,,,,,,,,,,,
D4,G050,2.52,I,0-5cm,1,1,1,,,4,,,,,,,,,,,,,
D4,G050,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D4,G050,2.52,S,0-1.3 m,5,,,,,4,,,,,,,,,,,,,
D4,G150,2.52,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D4,G150,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
D4,G150,2.52,S,0-1.3 m,41,3,2,,,1,,,,,,,,,,,,,
D4,G250,2.52,I,0-5cm,1,,,,,,,,,,,,,,,,,,
D4,G250,2.52,I,5.1-10cm,,,1,,,,,,,,,,,,,,,,
D4,G250,2.52,S,0-1.3 m,40,1,,,,,,,,,,,,,,,,,
D4,G350,2.52,I,0-5cm,11,,,,,,,,,,,,,,,,,,
D4,G350,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D4,G350,2.52,S,0-1.3 m,6,,,,,,,,,3,,,,,,,,,
D4,H000,1.78,I,0-5cm,13,,,,,,,,,,,,,,,,,,
D4,H000,1.78,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D4,H000,1.78,S,0-1.3 m,6,4,,,,,,,,1,,,,,,,,,
D4,H100,3.99,I,0-5cm,7,,,,,,,,,1,,,,,,,,,
D4,H100,3.99,I,5.1-10cm,5,,,,,,,,,,,,,,,,,,
D4,H100,3.99,S,0-1.3 m,4,,,,,,,,,1,,,,,,,,,
D5,A050,0.8,I,0-5cm,1,,,,,,,,,,,,,,,,,,See large tree plots for GPS coordinates
D5,A050,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,A050,0.8,S,0-1.3 m,53,,,,,,,,,1,,,,,,,,,
D5,A150,1.78,I,0-5cm,2,,,,,,,,,,,,,,,,,,
D5,A150,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,A150,1.78,S,0-1.3 m,14,,,,,,,,,,,,,,,,,,
D5,A250,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,A250,2.52,I,5.1-10cm,,,,,,1,,,,,,,,,,,,,
D5,A250,2.52,S,0-1.3 m,8,,,,,1,,,,,,,,,,,,,
D5,B100,1.78,I,0-5cm,,,1,,,,,,,,,,,,,,,,
D5,B100,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,B100,1.78,S,0-1.3 m,6,,1,,,14,,,,,,,,,,,,,
D5,B450,2.52,I,0-5cm,4,,,,,,,,,,,,,,,,,,
D5,B450,2.52,I,5.1-10cm,,,,,1,,,,,,,,,1,,,,,
D5,B450,2.52,S,0-1.3 m,16,4,,,,,,,,,,,,,,,,,
D5,C050,0.8,I,0-5cm,,,,,,1,,,,,,,,,,,,,
D5,C050,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,C050,0.8,S,0-1.3 m,8,,,,,11,,,,,,,,,,,,,
D5,C150,1.26,I,0-5cm,7,,,,,2,,,,,,,,,,,,,
D5,C150,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,C150,1.26,S,0-1.3 m,23,,,,,9,,,,,,,,,,,,,
D5,C250,2.52,I,0-5cm,4,,,,,1,,,,,,,,,,,,,
D5,C250,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
D5,C250,2.52,S,0-1.3 m,11,,,,,1,,,,,,,,,,,,,
D5,C350,3.99,I,0-5cm,2,,,,,5,,,,,,,,,,,,,
D5,C350,3.99,I,5.1-10cm,3,,,,,1,,,,,,,,,,,,,1 Hw horizontal 
D5,C350,3.99,S,0-1.3 m,31,2,,,,7,,,,,,,,,,,,,
D5,C450,3.99,I,0-5cm,1,,,,1,,,,,,,,,,,,,,
D5,C450,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,C450,3.99,S,0-1.3 m,26,,,,1,,,,,,,,,,,,,,
D5,D000,1.26,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D5,D000,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,D000,1.26,S,0-1.3 m,19,,,,,13,,,,,,,,,,,,,
D5,D100,0.8,I,0-5cm,6,,,,,,,,,,,,,,,,,,
D5,D100,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,D100,0.8,S,0-1.3 m,10,,,,,1,,,,,,,,,,,,,
D5,D200,0.8,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,D200,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,D200,0.8,S,0-1.3 m,57,,2,,,3,,,,,,,,,,,,,
D5,D300,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
D5,D300,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,D300,3.99,S,0-1.3 m,22,1,,,,,,,,,,,,,,,,,
D5,D400,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,D400,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,D400,2.52,S,0-1.3 m,28,,,,,1,,,,,,,,,,,,,
D5,E000,2.52,I,0-5cm,5,,,,,1,,,,,,,,,,,,,
D5,E000,2.52,I,5.1-10cm,1,,,,,1,,,,1,,,,,,,,,
D5,E000,2.52,S,0-1.3 m,3,,,,,1,,,,,,,,,,,,,
D5,E100,1.78,I,0-5cm,,,1,,,,,,,,,,,,,,,,
D5,E100,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,E100,1.78,S,0-1.3 m,27,,,,,1,,,,,,,,,,,,,
D5,E200,1.26,I,0-5cm,1,,1,,,,,,,,,,,,,,,,
D5,E200,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,E200,1.26,S,0-1.3 m,31,,,,,12,,,,,,,,,,,,,
D5,E300,2.52,I,0-5cm,,,1,,,,,,,,,,,,,,,,
D5,E300,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,E300,2.52,S,0-1.3 m,6,5,,,,2,,,,,,,,,,,,,
D5,E400,2.52,I,0-5cm,1,,,,,1,,,,,,,,,,,,,
D5,E400,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,E400,2.52,S,0-1.3 m,7,,,,,4,,,,,,,,,,,,,
D5,F050,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,F050,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,F050,2.52,S,0-1.3 m,14,1,1,,,3,,,,,,,,,,,,,
D5,F150,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,F150,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,F150,2.52,S,0-1.3 m,13,,,,,9,,,,,,,,,,,,,
D5,F250,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,F250,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,F250,2.52,S,0-1.3 m,3,,,,,26,,,,,,,,,,,,,
D5,F350,1.78,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,F350,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,F350,1.78,S,0-1.3 m,7,,,,,13,,,,,,,,,,,,,
D5,G000,2.52,I,0-5cm,12,,,,,,,,,,,,,,,,,,
D5,G000,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,1,,,,
D5,G000,2.52,S,0-1.3 m,6,,,,,,,,,3,,,,,,,,,
D5,G100,1.26,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,G100,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,G100,1.26,S,0-1.3 m,23,1,,,,13,,,,,,,,,,,,,
D5,G200,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,G200,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,G200,2.52,S,0-1.3 m,20,,,,,,,,,,,,,,,,,,
D5,G300,1.78,I,0-5cm,0,,,,,,,,,,,,,,,,,,
D5,G300,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,G300,1.78,S,0-1.3 m,5,,,,,22,,,,,,,,,,,,,
D5,H000,3.99,I,0-5cm,4,,2,1,,,,,,,,,,,,,,,
D5,H000,3.99,I,5.1-10cm,,,,,,,,,,1,,,,,,,,,
D5,H000,3.99,S,0-1.3 m,11,3,,,,2,,,,,,,,,,,,,
D5,H100,1.78,I,0-5cm,,,,,,8,,,,,,,,,,,,,
D5,H100,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
D5,H100,1.78,S,0-1.3 m,4,,,,,6,,,,,,,,,,,,,
