TRT,BLK,Site,Unit,Gd Pt,Plot Size,factor,Size Cl,Species,Dmin,Dmax ,Dave
4,1,292,D2,B200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,293,D2,C100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,1,293,D2,C100,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,399,D2,C200,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
4,1,399,D2,C200,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,295,D2,D000,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Sx,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,303,D2,F050,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,303,D2,F050,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,402,D2,F250,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,402,D2,F250,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
